building_name,zip_code,street,city,province,country,details,rooms_vacant,coordinates,average_rating,building_image
Forest Glen Apartments,11245,Forest Dr,Detroit,Michigan,USA,Surrounded by greenery,12,42.3314° N,4.1,Screenshot_2024-10-31_012222_nV73Em3.png
Seaview Residences,22467,Ocean Blvd,Miami,Florida,USA,Oceanfront view,18,25.7617° N,4.7,Screenshot_2024-10-31_012222_nV73Em3.png
Highland Gardens,33412,Garden St,Denver,Colorado,USA,Garden view,15,39.7392° N,3.9,Screenshot_2024-10-31_012222_nV73Em3.png
Sunset Villas,77890,Sunset Dr,Los Angeles,California,USA,Near beach,10,34.0522° N,4.2,Screenshot_2024-10-31_012222_nV73Em3.png
The Outlook,99812,Outlook Ave,New York,New York,USA,Cityscape view,28,40.7128° N,4.8,Screenshot_2024-10-31_012222_nV73Em3.png
Hillside Apartments,33478,Hillside Rd,San Francisco,California,USA,Hillside view,12,37.7749° N,4.3,Screenshot_2024-10-31_012222_nV73Em3.png
Riverwalk Residences,22345,Riverwalk St,San Antonio,Texas,USA,River view,16,29.4241° N,4.1,Screenshot_2024-10-31_012222_nV73Em3.png
Skyline Plaza,22345,Skyline Dr,Chicago,Illinois,USA,City views,25,41.8781° N,4.7,Screenshot_2024-10-31_012222_nV73Em3.png
Sunnyhill Apartments,66723,Hilltop Rd,Phoenix,Arizona,USA,Hilltop location,10,33.4484° N,3.8,Screenshot_2024-10-31_012222_nV73Em3.png
Elmwood Tower,99823,Elm St,Seattle,Washington,USA,High-rise,14,47.6062° N,4.6,Screenshot_2024-10-31_012222_nV73Em3.png
Greenwood Residences,33456,Greenwood Ave,Portland,Oregon,USA,Near parks,22,45.5051° N,4.3,Screenshot_2024-10-31_012222_nV73Em3.png
Shoreline Condos,55678,Shoreline Dr,Milwaukee,Wisconsin,USA,Lakefront property,18,43.0389° N,4.5,Screenshot_2024-10-31_012222_nV73Em3.png
Brightside Apartments,11234,Brightside St,Charlotte,North Carolina,USA,Well-lit apartments,12,35.2271° N,4,Screenshot_2024-10-31_012222_nV73Em3.png
Oakwood Villas,77845,Oakwood St,Columbus,Ohio,USA,Near oak forest,10,39.9612° N,4.4,Screenshot_2024-10-31_012222_nV73Em3.png
Lakepoint Residences,33489,Lakepoint Rd,Nashville,Tennessee,USA,Lake views,15,36.1627° N,4.2,Screenshot_2024-10-31_012222_nV73Em3.png
Cedarwood Tower,22345,Cedar St,Atlanta,Georgia,USA,Wooded surroundings,8,33.7490° N,4,Screenshot_2024-10-31_012222_nV73Em3.png
